Date,Holiday Name,Holiday Flag,Weekly Holiday
14-04-2021,Ambedkar Jayanti,1,0
15-04-2021,Bahag Bihu/Vaisakhadi,1,0
16-04-2021,,0,0
17-04-2021,,0,0
18-04-2021,,0,1
19-04-2021,,0,0
20-04-2021,,0,0
21-04-2021,Rama Navami,1,0
22-04-2021,,0,0
23-04-2021,,0,0
24-04-2021,,0,0
25-04-2021,Mahavir Jayanti,1,1
26-04-2021,,0,0
27-04-2021,,0,0
28-04-2021,,0,0
29-04-2021,,0,0
30-04-2021,,0,0
01-05-2021,International Worker's Day,1,0
02-05-2021,,0,1
03-05-2021,,0,0
04-05-2021,,0,0
05-05-2021,,0,0
06-05-2021,,0,0
07-05-2021,Jamat Ul-Vida,1,0
08-05-2021,,0,0
09-05-2021,Birthday of Rabindranath,1,1
10-05-2021,,0,0
11-05-2021,,0,0
12-05-2021,,0,0
13-05-2021,,0,0
14-05-2021,Ramzan Id/Eid-ul-Fitar,1,0
15-05-2021,,0,0
16-05-2021,,0,1
17-05-2021,,0,0
18-05-2021,,0,0
19-05-2021,,0,0
20-05-2021,,0,0
21-05-2021,,0,0
22-05-2021,,0,0
23-05-2021,,0,1
24-05-2021,,0,0
25-05-2021,,0,0
26-05-2021,Buddha Purnima/Vesak,1,0
27-05-2021,,0,0
28-05-2021,,0,0
29-05-2021,,0,0
30-05-2021,,0,1
31-05-2021,,0,0
01-06-2021,,0,0
02-06-2021,,0,0
03-06-2021,,0,0
04-06-2021,,0,0
05-06-2021,,0,0
06-06-2021,,0,1
07-06-2021,,0,0
08-06-2021,,0,0
09-06-2021,,0,0
10-06-2021,,0,0
11-06-2021,,0,0
12-06-2021,,0,0
13-06-2021,,0,1
14-06-2021,,0,0
15-06-2021,,0,0
16-06-2021,,0,0
17-06-2021,,0,0
18-06-2021,,0,0
19-06-2021,,0,0
20-06-2021,Fathers' Day,1,1
21-06-2021,June Solstice,1,0
22-06-2021,,0,0
23-06-2021,,0,0
24-06-2021,,0,0
25-06-2021,,0,0
26-06-2021,,0,0
27-06-2021,,0,1
28-06-2021,,0,0
29-06-2021,,0,0
30-06-2021,,0,0
01-07-2021,,0,0
02-07-2021,,0,0
03-07-2021,,0,0
04-07-2021,,0,1
05-07-2021,,0,0
06-07-2021,,0,0
07-07-2021,,0,0
08-07-2021,,0,0
09-07-2021,,0,0
10-07-2021,,0,0
11-07-2021,,0,1
12-07-2021,Rath Yatra,1,0
13-07-2021,,0,0
14-07-2021,,0,0
15-07-2021,,0,0
16-07-2021,,0,0
17-07-2021,,0,0
18-07-2021,,0,1
19-07-2021,,0,0
20-07-2021,,0,0
21-07-2021,Bakrid,1,0
22-07-2021,,0,0
23-07-2021,,0,0
24-07-2021,Guru Purnima,1,0
25-07-2021,,0,1
26-07-2021,,0,0
27-07-2021,,0,0
28-07-2021,,0,0
29-07-2021,,0,0
30-07-2021,,0,0
31-07-2021,,0,0
01-08-2021,Friendship Day,1,1
02-08-2021,,0,0
03-08-2021,,0,0
04-08-2021,,0,0
05-08-2021,,0,0
06-08-2021,,0,0
07-08-2021,,0,0
